Author,Title,Journal,Abstract,"Times Cited, WoS Core", ,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,experimental?,Replication?,comments,Open Access (article),citation of initial study,journal of initial study,author overlap,year of initial study,years between initial and replication study,experimental paradigm,sample,materials/set-up,measurement (dependent variable),manipulation (independent variable),control,type of replication,language under investigation,"if direct, check for success",citation count of replication,citation count of initial study until incl. 2020 (retrieved: 16.08.2021),citation count until replication study was published (retrieved: 16.08.2021)
"Andoni Dunabeitia, Jon; Kinoshita, Sachiko; Carreiras, Manuel; Norris, Dennis",Is morpho-orthographic decomposition purely orthographic? Evidence from masked priming in the same-different task,LANGUAGE AND COGNITIVE PROCESSES,"Two experiments used the cross-case same-different task to test whether the orthographically driven morphological decomposition effects that have been found in the lexical decision task are obligatory. Experiment 1 replicated the manipulation used by Dunabeitia, Perea, and Carreiras (2007), testing transposed-letter (TL) priming effects spanning the boundary between the affix and the stem. In contrast to their finding observed with the lexical decision task, TL priming effect did not vanish with polymorphemic or pseudomorphemic words. Experiment 2 used the manipulation used by Rastle, Davis, and New (2004), comparing the effects of polymorphemic affixed words (e.g., walker), pseudo-affixed words (e.g., corner), and nonaffixed monomorphemic words (e.g., brothel) in target word recognition. Unlike the results observed in the original lexical decision study, equal priming effects were observed with all three types of words. These results suggest that the presence of an orthographically defined subunit (affix) is not sufficient to drive morphological decomposition processes.",36,,2011,26,4-Juni,509,529,PII 925484043,10.1080/01690965.2010.499215,1,1,one of several experiments is a replication,0,"Dunabeitia, J. A., Perea, M., & Carreiras,M. (2007). Do transposed-letter similarity effects occur at a morpheme level? Evidence for morpho-orthographic decomposition. Cognition, 105, 691 703.",Cognition,1,2007,4,0,0,0,0,1,0,partial,Spanish,NA,36,97,32
"Emmorey, K; LilloMartin, D",Processing spatial anaphora: Referent reactivation with overt and null pronouns in American Sign Language,LANGUAGE AND COGNITIVE PROCESSES,"Unlike English, American Sign Language (ASL) permits phonologically null pronouns in tensed clauses. Null pronouns are licensed by morphological marking of ''agreeing'' verbs which agree with the spatial loci of the subject and object noun phrases of the sentence. We present two probe recognition experiments which investigated whether overt and null pronouns similarly reactivate their referents during on-line sentence comprehension. Experiment 1 revealed faster response times to probes that were referents of either an overt pronoun or a null pronoun compared to control probes, indicating that both overt pronouns and null pronouns associated with verb agreement reactivate their spatial referents. However, response times to non-referent probes were also faster than to control probes, and it was hypothesised that an end-of-sentence probe presentation may have tapped into a sentence integration process in which all possible referents were reactivated. In a second experiment, the same sentences were presented to a second group of subjects, but probe signs were presented before the end of the sentence, and 1000 msec after the anaphoric element. The main results of the first experiment were replicated (both overt and null pronouns reactivated their referents), and responses to non-referent probes were not significantly different from control probes. Both experiments indicated that (1) there is an important link between spatial verb agreement and the ASL pronominal system, and (2) non-referent inhibition does not have the same processing status in ASL as it does in English.",8,DEC,1995,10,6,631,653,,10.1080/01690969508407116,1,0,no clear communication of intent to replicate an original study,0,,,,,NA,,,,,,,NA,,NA,8,,
"Grosjean, F; Hirt, C",Using prosody to predict the end of sentences in English and French: Normal and brain-damaged subjects,LANGUAGE AND COGNITIVE PROCESSES,"In an earlier study (Grosjean, 1983), it was found that listeners of English were surprisingly accurate at predicting the temporal end of a sentence when only given the part up to the ''potentially last word'', that is a noun before an optional prepositional phrase of varying lengths. The present study investigated this phenomenon in four experiments. The first two experiments examined the prediction capabilities of listeners when presented with the whole sentence in segments of increasing duration and when presented with the potentially last word only. The results indicate that to be able to use prosody to predict the end of sentences correctly, subjects must have reached a point in the sentence where neither syntax nor semantics can contribute to the prediction process. The third experiment investigated whether the results obtained with English can be replicated in French, a language with a very different prosodic structure. It was found that unlike their English counterparts, French listeners were unable to differentiate between sentences that continued, although they could tell if a sentence ended or not. Finally, the fourth experiment examined whether left and right hemisphere brain-damaged (LHD, RHD) patients are equally proficient at estimating the length of a sentence. LHD patients behaved like their controls, but RHD patients experienced great difficulty doing the task. This confirms that sentence prosody may well involve the right hemisphere, especially when no other type of linguistic processing is involved. The extension of these studies to other types of linguistic material and to other languages is discussed, as is the on-line use of prediction in language processing.",47,FEB-APR,1996,11,1-Feb.,107,134,,10.1080/016909696387231,1,1,one of several experiments is a replication,0,"Grosjean,  F. (1983). How  long  is  the  sentence?  Prediction  and  prosody  in  the  on-line processing of language.  Linguistics , 21, 501",Linguistics,1,1983,13,0,1,1,0,0,0,conceptual,French (initial: English),NA,47,48,8
"Gumnior, Heidi; Boelte, Jens; Zwitserlood, Pienie",A chatterbox is a box: Morphology in German word production,LANGUAGE AND COGNITIVE PROCESSES,"Two experiments are reported in which university students translated visually presented English words into German, while German distractor words were simultaneously presented. Distractors were morphologically related, merely form-related or unrelated to the German translations (target words). The transparency of the semantic relation between target words and morphological distractors was also varied. Morphological distractors facilitated word-translation latencies irrespective of their semantic transparency, replicating results obtained with other tasks. Thus, in German word production, effects of morphological complexity seem to be largely independent of semantics. Morphological facilitation is also not due to mere form relatedness, since phonological distractors had no impact on translation latencies, relative to unrelated distractors. Our data corroborate the usefulness of word-translation for investigating spoken word production, in particular, for morphological processing.",24,NOV-DEC,2006,21,7-Aug.,920,944,,10.1080/016909600824278,1,0,"""replicate"" as example stimulus word; no clear communication of intent to replicate",0,,,,,NA,,,,,,,NA,,NA,24,,
"Jonsson, Martin L.; Hampton, James A.",The modifier effect in within-category induction: Default inheritance in complex noun phrases,LANGUAGE AND COGNITIVE PROCESSES,"Within-category induction is the projection of a generic property from a class (Apples are sweet) to a subtype of that class (Chinese apples are sweet). The modifier effect refers to the discovery reported by Connolly et al., that the subtype statement tends to be judged less likely to be true than the original unmodified sentence. The effect was replicated and shown to be moderated by the typicality of the modifier (Experiment 1). Likelihood judgements were also found to correlate between modified and unmodified versions of sentences. Experiment 2 elicited justifications, which suggested three types of reason for the effect-pragmatics, knowledge-based reasoning, and uncertainty about attribute inheritance. It is argued that the results provide clear evidence for the default inheritance of prototypical attributes in modified concepts, although a full account of the effect remains to be given.",9,,2012,27,1,90,116,,10.1080/01690965.2010.544107,1,1,one of several experiments is a replication,1,"Connolly, A. C., Fodor, J. A., Gleitman, L. R., & Gleitman, H. (2007). Why stereotypes don't even make good defaults. Cognition, 103, 1-22.",Cognition,0,2007,5,0,0,1,0,0,0,partial,English,NA,9,57,33
"Kaan, E; Harris, A; Gibson, E; Holcomb, P",The P600 as an index of syntactic integration difficulty,LANGUAGE AND COGNITIVE PROCESSES,"The P600 component in Event Related Potential research has been hypothesised to be associated with syntactic reanalysis processes. We, however, propose that the P600 is not restricted to reanalysis processes, but reflects difficulty with syntactic integration processes in general. First we discuss this integration hypothesis in terms of a sentence processing model proposed elsewhere. Next, in Experiment 1, we show that the P600 is elicited in grammatical, non-garden path sentences in which integration is more difficult (i.e., who questions) relative to a control sentence (whether questions). This effect is replicated in Experiment 2. Furthermore, we directly compare the effect of difficult integration in grammatical sentences to the effect of agreement violations. The results suggest that the positivity elicited in who questions and the P600-effect elicited by agreement violations have partly overlapping neural generators. This supports the hypothesis that similar cognitive processes, i.e., integration, are involved in both first pass analysis of who questions and dealing with ungrammaticalities (reanalysis).",496,APR,2000,15,2,159,201,,10.1080/016909600386084,1,1,inner-paper replication,0,same,same,1,2000,0,0,0,1,1,1,0,conceptual,English,NA,496,,
"Kennedy, Alan; Murray, Wayne S.; Jennings, Francis; Reid, Claire",Parsing Complements: Comments on the Generality of the Principle of Minimal Attachment,LANGUAGE AND COGNITIVE PROCESSES,"Two experiments are described in this paper, which examine the processing of English sentences containing complement verbs, and which may be followed either by a nounphrase, as a direct object, or by a complement clause. It has been claimed by Frazier and Rayner (1982) that subjects are garden-pathed when reading reduced complements (lacking the overt complemetiser), and that this fact is strong evidence in support of the application of the principle of Minimal Attachment as a universal property of the human parser. Holmes, Kennedy, and Murray (1987) questioned this conclusion by providing evidence that full and reduced complements present equivalent problems, probably because of their greater structural complexity. Rayner and Frazier (1987) disputed this conclusion, ascribing it to an artefact resulting from the use of a self-paced reading task. The first experiment examines this controversy with a replication of the study by Holmes et al., measuring eye movements as the sentences are processed. The results replicate those of the original study and further show that the effects cannot be attributed to lexical preferences associated with the verb. The second experiment examines the format of the displayed text as one possible reason for the discrepancy between the two sets of results. When sentences are displayed across several lines, the line breaks are interpreted by subjects as signals for potential clause endings, garden-pathing the reader. However, misparsings induced in this way cannot be used to support the claim that readers are generally garden-pathed by the temporary ambiguity of reduced complement sentences.",43,,1989,4,3-Apr.,SI51,SI76,,10.1080/01690968908406363,1,1,one of several experiments is a replication,0,"Holmes, V. M., Kennedy. A., & Murray, W. S. (1987). Syntactic structure and the garden path. Quarterly Journal of Experimental Psychology, 39A, 271-294.",Quarterly Journal of Experimental Psychology,1,1981,8,0,0,1,0,0,0,partial,English,NA,43,28,5
"Kuipers, Jan-Rouke; La Heij, Wido",The limitations of cascading in the speech production system,LANGUAGE AND COGNITIVE PROCESSES,"Two competing views on how information flows in the speech production system are discussed. The full-cascading view holds that all activated concepts automatically activate their lexical and phonological representations. The limited-cascading view holds that a selection procedure interrupts the automatic flow of information through the speech production system. Recently, the full-cascading view has received support from the observation that ignored pictures activate their phonological representation. In two experiments the conditions to observe this finding were examined. Using coloured pictures to name, we replicated the finding that when the picture's name is phonologically related to the name of its colour, the colour-naming task is facilitated compared with when the name of the picture is unrelated. We also show that this effect is stronger when naming the picture has been practiced. By contrast, the colour's name has no effect on naming the picture, not even when colour naming is practiced. We conclude that strong versions of both the full-cascading view and the limited-cascading view cannot account for the complete set of data.",33,,2009,24,1,120,135,,10.1080/01690960802234177,1,1,one of several experiments is a replication,0,"Navarrete, E., & Costa, A. (2005). Phonological activation of ignored pictures: Further evidence for a cascade model of lexical access. Journal of Memory and Language, 53, 359 377.",Journal of Memory and Language,0,2005,4,0,1,1,0,0,0,conceptual,Dutch (initial: Spanish),NA,33,124,34
"La Heij, Wido; Boelens, Harrie; Kuipers, Jan-Rouke",Object interference in children's colour and position naming: Lexical interference or task-set competition?,LANGUAGE AND COGNITIVE PROCESSES,"Cascade models of word production assume that during lexical access all activated concepts activate their names. In line with this view, it has been shown that naming an object's colour is facilitated when colour name and object name are phonologically related (e. g., 'blue' and 'blouse'). Prevor and Diamond's (2005) recent observation that children take longer to name the colour of real objects than of abstract forms could also be attributed to cascaded processing, resulting in competition between colour name and object name. Experiments 1 and 2 replicate this 'object-interference effect' in colour naming by children of 5-7 years of age and show that it generalises to position naming. Experiment 2 shows that the effect is also obtained with hard-to-name objects; a finding that is at variance with a lexical-competition account. The finding in Experiment 3 that the object-interference effect is absent in adults, is consistent with an alternative interpretation in terms of task-set competition. Implications for models of word production are discussed.",27,,2010,25,4,568,588,,10.1080/01690960903381174,1,1,one of several experiments is a replication,0,"Prevor, M. D., & Diamond, A. (2005). Color-object interference in young children: A Stroop effect in children 3Â½ 6Â½ years old. Cognitive Development, 20, 256 274.",Cognitive Development,0,2005,5,0,0,0,0,1,0,partial,Dutch,NA,27,56,15
"Mathey, S; Robert, C; Zagar, D",Neighbourhood distribution interacts with orthographic priming in the lexical decision task,LANGUAGE AND COGNITIVE PROCESSES,"Lexical decision tasks (LDTs) were used with a masked priming procedure to test whether neighbourhood distribution interacts with orthographic priming. Word targets had either 'single' neighbours when their two higher frequency orthographic neighbours were spread over letter positions (e.g., neighbours of LOBE : robe-loge ) or 'twin' neighbours when they were concentrated on a single letter position (e.g., neighbours of FARD : lard-tard ). All word targets were preceded by their highest frequency orthographic neighbour or by a control prime. An inhibitory priming effect was found for words with single neighbours, but not for words with twin neighbours, in both a yes/no LDT (Experiment 1a) and a go/no-go LDT (Experiment 1b). This interaction was replicated in a go/no-go LDT when the position of the letter yielding the neighbour prime was controlled (Experiment 2). Simulations run on the word materials revealed that the interactive activation model captures the inhibitory priming effect in the single-neighbour condition but fails to capture the loss of priming in the twin-neighbour condition.",16,AUG,2004,19,4,533,559,,10.1080/01690960344000260,1,1,inner-paper replication,0,same,same,1,2004,0,0,0,0,0,1,0,partial,French,NA,16,,
"PRASADA, S; PINKER, S",GENERALIZATION OF REGULAR AND IRREGULAR MORPHOLOGICAL PATTERNS,LANGUAGE AND COGNITIVE PROCESSES,"Both regular inflectional patterns (walk-walked) and irregular ones (swing-swung) can be applied productively to novel words (e.g. wug-wugged; spling -splung). Theories of generative phonology attribute both generalisations to rules; connectionist theories attribute both to analogies in a pattern associator network; hybrid theories attribute regular (fully predictable default) generalisations to a rule and irregular generalisations to a rote memory with pattern-associator properties. In three experiments and three simulations, we observe the process of generalising morphological patterns in humans and two-layer connectionist networks. Replicating Bybee and Moder (1983), we find that people's willingness to generalise from existing irregular verbs to novel ones depends on the global similarity between them (e.g. spling is readily inflectable as splung, but nist is not inflectable as nust). In contrast, generalisability of the regular suffix does not appear to depend on similarity to existing regular verbs: Regularly suffixed versions of both common-sounding plip and odd-sounding ploamph were reliably produced and highly rated, and the odd-sounding verbs were not rated as having worse past-tense forms, relative to the naturalness of their stems, than common-sounding ones. In contrast, Rumelhart and McClelland's connectionist past-tense model was found to vary strongly in its tendency to supply both irregular and regular inflections to these novel items as a function of their similarity to forms it was trained on, and for the dissimilar forms, successful regular inflection rarely occurred. We suggest that rule-only theories have trouble explaining patterns of irregular generalisations, whereas single-network theories have trouble explaining regular ones; the computational demands of the two kinds of verbs are different, so a modular system is optimal for handling both simultaneously. Evidence from linguistics and psycholinguistics independently calls for such a hybrid, where irregular pairs are stored in a memory system that superimposes phonological forms, fostering generalisation by analogy, and regulars are generated by a default suffix concatenation process capable of operating on any verb, regardless of its sound.",266,FEB,1993,8,1,1,56,,10.1080/01690969308406948,1,1,one of several experiments is a replication,0,"Bybee, J.L. & Modcr, C.L. (1983). Morphological classes as natural categories. Language,59,251-270.",Language and Cognitive Processes,0,1983,10,0,0,1,0,1,0,conceptual,English,NA,266,173,17
"Robertson, C; Kirsner, K",Indirect memory measures in spontaneous discourse in normal and amnesic subjects,LANGUAGE AND COGNITIVE PROCESSES,"It has been demonstrated that people reduce the duration of repeated words during spontaneous discourse. They do, this, presumably, to indicate that a word is 'old' or 'Given', and that the existing representation of the referent can therefore be used to simplify and facilitate comprehension. The experiment reported here was designed to replicate and extend a previous study by Fowler. The experiment extended Fowler's work in two ways; first, into reference, by comparing word repetitions that involved 'new' as distinct from Given information and, second, into memory processes, by comparing discourse from normal and amnesic subjects. Following Fowler, the experiment demonstrated that word duration is reduced for repeated words when the second utterance involves Given or old information provided that the repetition occurs before a topic change, a pattern that was observed for both normal and amnesic subjects. However, unlike Fowler, the experiment demonstrated that word duration is increased for the second utterance when that utterance involves New information, a pattern that was also observed for both normal and amnesic subjects. The experiment demonstrated that referential information is preserved and used during spontaneous discourse by amnesic subjects. The measurement of duration by acoustic analysis therefore offers a new approach to the analysis of memory processes in conversation, and the results suggest that Given/New marking involves records that create or maintain specific information about reference and/or Given/New status.",3,APR,2000,15,2,203,222,,10.1080/016909600386093,1,1,replication of a previous study with extensions,0,"Fowler, C.A., & Housum, J. (1987). Talkers",Journal of Memory and Language,0,1987,13,0,0,1,0,1,0,conceptual,English,NA,3,241,55
"Roelofs, A",Syllable structure effects turn out to be word length effects: Comment on Santiago et al. (2000),LANGUAGE AND COGNITIVE PROCESSES,"Santiago, MacKay, Palma, and Rho (2000) report two picture naming experiments examining the role of syllable onset complexity and number of syllables in spoken word production. Experiment 1 showed that naming latencies are longer for words with two syllables (e. g., demon) than one syllable (e. g., duck), and longer for words beginning with a consonant cluster (e. g., drill) than a single consonant (e. g., duck). Experiment 2 replicated these findings and showed that the complexity of the syllable nucleus and coda has no effect. These results are taken to support MacKay's (1987) Node Structure theory and to refute models such as WEAVER++ (Roelofs, 1997a) that predict effects of word length but not of onset complexity and number of syllables per se. In this comment, I show that a re-analysis of the data of Santiago et al. that takes word length into account leads to the opposite conclusion. The observed effects of onset complexity and number of syllables appear to be length effects, supporting WEAVER++ and contradicting the Node Structure theory.",32,FEB,2002,17,1,1,13,,10.1080/01690960042000139,0,0,comment; meta-level,0,,,,,NA,,,,,,,NA,,NA,32,,
