Source Titles,TS=(experiment*) AND WC=(Linguistics),WC=(Linguistics),ratio
LANGUAGE TEACHING RESEARCH,60,524,0.114503817
INTERPRETER AND TRANSLATOR TRAINER,26,231,0.112554113
POZNAN STUDIES IN CONTEMPORARY LINGUISTICS,36,322,0.111801242
MIND LANGUAGE,80,728,0.10989011
FIRST LANGUAGE,34,312,0.108974359
PRAGMATICS COGNITION,21,193,0.10880829
ACTA LINGUISTICA HUNGARICA,26,243,0.106995885
SYNTAX A JOURNAL OF THEORETICAL EXPERIMENTAL AND INTERDISCIPLINARY RESEARCH,16,150,0.106666667
COGNITIVE LINGUISTICS,47,443,0.106094808
JOURNAL OF RESEARCH IN APPLIED LINGUISTICS,30,283,0.106007067
LANGUAGE LEARNING TECHNOLOGY,37,352,0.105113636
APHASIOLOGY,209,1999,0.104552276
DIGITAL SCHOLARSHIP IN THE HUMANITIES,70,636,0.110062893
PROBUS,15,157,0.095541401
INNOVATION IN LANGUAGE LEARNING AND TEACHING,16,168,0.095238095
INTERNATIONAL JOURNAL OF ENGLISH LINGUISTICS,71,786,0.090330789
TRANSLATION INTERPRETING THE INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING,10,114,0.087719298
ACROSS LANGUAGES AND CULTURES,14,164,0.085365854
MORPHOLOGY,9,106,0.08490566
AMERICAN JOURNAL OF SPEECH LANGUAGE PATHOLOGY,95,1132,0.083922261
REVUE ROUMAINE DE LINGUISTIQUE ROMANIAN REVIEW OF LINGUISTICS,17,205,0.082926829
INTERCULTURAL PRAGMATICS,20,245,0.081632653
CHILD LANGUAGE TEACHING THERAPY,20,249,0.080321285
LANGUAGE AWARENESS,21,262,0.080152672
GESTURE,11,143,0.076923077
JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION,17,221,0.076923077
SYSTEM,87,1131,0.076923077
METAPHOR AND SYMBOLIC ACTIVITY,10,134,0.074626866
IBERICA,15,203,0.073891626
LINGUA,187,2551,0.073304586
ANNUAL REVIEW OF APPLIED LINGUISTICS,11,151,0.072847682
LINGUISTICA ANTVERPIENSIA NEW SERIES THEMES IN TRANSLATION STUDIES,10,138,0.072463768
TERMINOLOGY,9,127,0.070866142
ANNUAL REVIEW OF LINGUISTICS,7,101,0.069306931
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,10,146,0.068493151
JOURNAL OF FRENCH LANGUAGE STUDIES,8,117,0.068376068
CLINICAL LINGUISTICS PHONETICS,101,1480,0.068243243
LANGUAGE AND LINGUISTICS,19,281,0.067615658
INTERNATIONAL JOURNAL OF LANGUAGE COMMUNICATION DISORDERS,73,1080,0.067592593
NORDIC JOURNAL OF LINGUISTICS,10,150,0.066666667
JOURNAL OF EAST ASIAN LINGUISTICS,22,338,0.065088757
LANGUAGE AND LITERATURE,16,246,0.06504065
3L LANGUAGE LINGUISTICS LITERATURE THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,19,293,0.064846416
BABEL REVUE INTERNATIONALE DE LA TRADUCTION INTERNATIONAL JOURNAL OF TRANSLATION,17,264,0.064393939
HUMOR INTERNATIONAL JOURNAL OF HUMOR RESEARCH,39,607,0.064250412
INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,15,239,0.062761506
IRAL INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,42,671,0.062593145
INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,10,163,0.061349693
