journals,policy,webpage,binary_policy,jif,openaccess
LANGUAGE AND LINGUISTICS COMPASS,3,https://onlinelibrary.wiley.com/page/journal/1749818x/homepage/productinformation.html,0,not retrievable,partial
METAPHOR AND SYMBOL,3,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hmet20,0,1.417,partial
LANGUAGE LEARNING,2,https://onlinelibrary.wiley.com/page/journal/14679922/homepage/productinformation.html,0,3.408,partial
JOURNAL OF CHILD LANGUAGE,2,https://www.cambridge.org/core/journals/journal-of-child-language,0,1.620,partial
JOURNAL OF SEMANTICS,2,https://academic.oup.com/jos/pages/About,0,1.209,partial
APHASIOLOGY,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=paph20,0,1.720,partial
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,3,https://journals.sagepub.com/aims-scope/JLS,0,1.162,partial
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,2,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=ilcd20,0,1.738,partial
JOURNAL OF PHONETICS,2,https://www.journals.elsevier.com/journal-of-phonetics/,0,2.600,partial
APPLIED PSYCHOLINGUISTICS,3,https://www.cambridge.org/core/journals/applied-psycholinguistics,0,1.412,partial
LANGUAGE AND SPEECH,1,https://journals.sagepub.com/description/las,1,1.098,partial
ACTA LINGUISTICA HUNGARICA,2,https://akjournals.com/view/journals/064/064-overview.xml,0,0.222,partial
JOURNAL OF COGNITIVE SCIENCE,2,https://onlinelibrary.wiley.com/page/journal/15516709/homepage/ForAuthors.html,0,not retrievable,partial
BRAIN AND LANGUAGE,2,https://www.journals.elsevier.com/brain-and-language/,0,2.339,partial
LITERARY AND LINGUISTIC COMPUTING,not retrievable,,0,not retrievable,partial
RECALL,2,https://www.cambridge.org/core/journals/recall,0,1.842,partial
INTERNATIONAL JOURNAL OF BILINGUALISM,3,https://journals.sagepub.com/description/IJB,0,1.642,partial
PHONETICA,3,https://www.degruyter.com/journal/key/PHON/html,0,1.000,partial
MIND LANGUAGE,2,https://onlinelibrary.wiley.com/page/journal/14680017/homepage/productinformation.html,0,1.275,partial
LINGUISTIC APPROACHES TO BILINGUALISM,3,https://benjamins.com/catalog/lab,0,1.930,partial
IRAL INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,2,https://www.degruyter.com/journal/key/IRAL/html,0,0.647,partial
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2,https://pubs.asha.org/jslhr/forauthors,0,1.873,partial
INTERACTION STUDIES,2,https://www.jbe-platform.com/content/journals/15720381,0,0.980,partial
ARAB WORLD ENGLISH JOURNAL,2,https://awej.org/about-us/,0,not retrievable,DOAJ gold
AMERICAN JOURNAL OF SPEECH LANGUAGE PATHOLOGY,2,https://pubs.asha.org/ajslp/forauthors,0,1.786,partial
MENTAL LEXICON,2,https://benjamins.com/catalog/ml,0,not retrievable,partial
CLINICAL LINGUISTICS PHONETICS,3,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=iclp20,0,0.975,partial
LANGUAGE ACQUISITION,3,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hlac20,0,0.725,partial
SYSTEM,2,https://www.journals.elsevier.com/system,0,1.979,partial
SECOND LANGUAGE RESEARCH,2,https://journals.sagepub.com/description/slr,0,1.614,partial
NATURAL LANGUAGE ENGINEERING,3,https://www.cambridge.org/core/journals/natural-language-engineering,0,1.465,partial
COMPUTER ASSISTED LANGUAGE LEARNING,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ncal20,0,2.642,partial
LINGUA,3,https://www.journals.elsevier.com/lingua/,0,0.643,partial
LECTURE NOTES IN COMPUTER SCIENCE,3,https://www.springer.com/series/558,0,not retrievable,partial
COMPUTATIONAL LINGUISTICS,3,http://cljournal.org/submissions.html,0,2.510,partial
LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,2,https://www.springer.com/series/1244,0,not retrievable,partial
PHONOLOGY,3,https://www.cambridge.org/core/journals/phonology,0,0.775,partial
INTERPRETING,3,https://benjamins.com/catalog/intp,0,0.571,partial
EURASIAN JOURNAL OF APPLIED LINGUISTICS,3,https://dergipark.org.tr/tr/pub/ejal,0,not retrievable,DOAJ gold
JOURNAL OF LANGUAGE AND EDUCATION,2,https://ojs.hse.ru/index.php/jle/about,0,not retrievable,DOAJ gold
LINGUISTICS VANGUARD,2,https://www.degruyter.com/journal/key/LINGVAN/html,0,not retrievable,partial
PROCESAMIENTO DEL LENGUAJE NATURAL,2,http://journal.sepln.org/sepln/ojs/ojs/index.php/pln,0,not retrievable,partial
APPLIED LINGUISTICS RESEARCH JOURNAL,3,https://www.alrjournal.com/About-Journal,0,not retrievable,DOAJ gold
NATURAL LANGUAGE SEMANTICS,2,https://www.springer.com/journal/11050/aims-and-scope,0,1.150,partial
JOURNAL OF QUANTITATIVE LINGUISTICS,3,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=njql20,0,0.886,partial
CORPUS LINGUISTICS AND LINGUISTIC THEORY,3,https://www.degruyter.com/journal/key/CLLT/html,0,2.417,partial
REVIEW OF COGNITIVE LINGUISTICS,3,https://benjamins.com/catalog/rcl,0,0.686,partial
INTERPRETER AND TRANSLATOR TRAINER,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ritt20,0,0.881,partial
POZNAN STUDIES IN CONTEMPORARY LINGUISTICS,3,https://www.degruyter.com/journal/key/PSICL/html,0,0.163,partial
PRAGMATICS COGNITION,2,https://benjamins.com/catalog/pc,0,0.189,partial
SYNTAX A JOURNAL OF THEORETICAL EXPERIMENTAL AND INTERDISCIPLINARY RESEARCH,2,https://onlinelibrary.wiley.com/page/journal/14679612/homepage/productinformation.html,0,1.000,partial
JOURNAL OF RESEARCH IN APPLIED LINGUISTICS,3,https://rals.scu.ac.ir/journal/authors.note,0,not retrievable,no
DIGITAL SCHOLARSHIP IN THE HUMANITIES,3,https://academic.oup.com/dsh/pages/About,0,0.592,partial
PROBUS,2,https://www.degruyter.com/journal/key/PRBS/html#callForPapersHeader,0,0.455,partial
INNOVATION IN LANGUAGE LEARNING AND TEACHING,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rill20,0,not retrievable,partial
INTERNATIONAL JOURNAL OF ENGLISH LINGUISTICS,3,http://www.ccsenet.org/journal/index.php/ijel/about,0,not retrievable,partial
ACROSS LANGUAGES AND CULTURES,3,https://akjournals.com/view/journals/084/084-overview.xml,0,0.360,partial
REVUE ROUMAINE DE LINGUISTIQUE ROMANIAN REVIEW OF LINGUISTICS,2,http://www.lingv.ro/RRLNotes%20for%20contributors.doc.pdf,0,0.250,no
INTERCULTURAL PRAGMATICS,3,https://www.degruyter.com/journal/key/IPRG/html,0,1.158,partial
CHILD LANGUAGE TEACHING & THERAPY,3,https://journals.sagepub.com/aims-scope/CLT,0,0.900,partial
LANGUAGE AWARENESS,3,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rmla20,0,0.846,partial
GESTURE,3,https://benjamins.com/catalog/gest,0,1.097,partial
JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION,3,https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/information,0,0.605,partial
METAPHOR AND SYMBOLIC ACTIVITY,3,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hmet20,0,not retrievable,no
IBERICA,3,http://www.aelfe.org/documents/IBERICA_Style_sheet_v10.pdf,0,0.385,DOAJ gold
ANNUAL REVIEW OF APPLIED LINGUISTICS,2,https://www.cambridge.org/core/journals/annual-review-of-applied-linguistics,0,1.679,partial
LINGUISTICA ANTVERPIENSIA NEW SERIES - THEMES IN TRANSLATION STUDIES,2,https://lans-tts.uantwerpen.be/index.php/LANS-TTS/index,0,0.500,partial
TERMINOLOGY,2,https://benjamins.com/catalog/term,0,1.286,partial
ANNUAL REVIEW OF LINGUISTICS,2,https://www.annualreviews.org/journal/linguistics,0,2.026,partial
JOURNAL OF FRENCH LANGUAGE STUDIES,2,https://www.cambridge.org/core/journals/journal-of-french-language-studies,0,0.308,partial
LANGUAGE AND LINGUISTICS,2,http://www.ling.sinica.edu.tw/LL/en/about,0,0.295,partial
NORDIC JOURNAL OF LINGUISTICS,2,https://www.cambridge.org/core/journals/nordic-journal-of-linguistics,0,0.346,partial
LANGUAGE AND LITERATURE,2,https://journals.sagepub.com/aims-scope/LAL,0,0.697,partial
BABEL REVUE INTERNATIONALE DE LA TRADUCTION INTERNATIONAL JOURNAL OF TRANSLATION,2,https://benjamins.com/catalog/babel,0,0.130,partial
INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,3,https://benjamins.com/catalog/ijcl,0,1.139,partial
INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,2,https://benjamins.com/catalog/itl,0,not retrievable,partial
